eventdate,mealname,fcst_custcount,served_custcount,sold_custcount,itemname,fcst_prtncount,fcst_prtnsize,sold_prtncount,served_prtnsize
8/25/2025 0:00,Breakfast,295,312,312,POTATO TOTS SWEET (VN),,1/2 cup,,1/2 cup
8/25/2025 0:00,Breakfast,295,312,312,POTATOES HASH BROWNS (GF)(VN),,1/2 Cup,,1/2 Cup
8/25/2025 0:00,Breakfast,295,312,312,HOT CEREAL OATMEAL (VN),0,8 oz Cup,0,8 oz Cup
8/25/2025 0:00,Breakfast,295,312,312,VEGETABLES SAUTEED (GF)(VN)(T9),50,1/2 Cup,10,1/2 Cup
8/25/2025 0:00,Breakfast,295,312,312,TOFU SCRAMBLE BRUSCHETTA (GF)(VN),40,1/2 cup,24,1/2 cup
8/25/2025 0:00,Breakfast,295,312,312,EGGS SCRAMBLED (GF)(VGT),432,1/2 cup Serving,324,1/2 cup Serving
8/25/2025 0:00,Breakfast,295,312,312,SAUSAGE TURKEY LINKS (GF)(T9),180,2 Links,267,2 Links
8/25/2025 0:00,Breakfast,295,312,312,POTATOES SWEET HOME FRIES (GF)(VN)(T9),,1/2 Cup,,1/2 Cup
8/25/2025 0:00,Breakfast,295,312,312,PANCAKES (VN),200,2 Pancake,200,2 Pancake
8/25/2025 0:00,Breakfast,295,312,312,MUFFINS CHOCOLATE CHOC CHIP BATTER (VGT),36,Muffin,36,Muffin
8/25/2025 0:00,Breakfast,295,312,312,MUFFINS APPLE CINNAMON BATTER (VGT),36,Muffin,36,Muffin
8/25/2025 0:00,Breakfast,295,312,312,DANISH ASSORT MINI SCHULS TREE NUT (VGT),36,Danish,48,Danish
8/25/2025 0:00,Lunch,820,820,820,PITA WEDGES (VN),300,4 Pieces,50,4 Pieces
8/25/2025 0:00,Lunch,820,820,820,HUMMUS (GF)(VN),300,1 oz Serving,320,1 oz Serving
8/25/2025 0:00,Lunch,820,820,820,SALAD LENTIL GREEK WITH FETA (GF)(VGT),200,2 oz Serving,160,2 oz Serving
8/25/2025 0:00,Lunch,820,820,820,CHIPS PITA FRIED (VN),400,4 Chips,80,4 Chips
8/25/2025 0:00,Lunch,820,820,820,TOFU BLACKENED (GF)(VN),110,3 oz Serving,192,3 oz Serving
8/25/2025 0:00,Lunch,820,820,820,VEGETABLE CREOLE (GF)(VN)(T9),,1/2 Cup,,1/2 Cup
8/25/2025 0:00,Lunch,820,820,820,ARROZ A LA POBLANA (GF)(VN)(T9),,1 Serving,,1 Serving
8/25/2025 0:00,Lunch,820,820,820,CHICKEN THIGH BLACKENED (GF)(H)(T9),580,3 oz Piece,480,3 oz Piece
8/25/2025 0:00,Lunch,820,820,820,VEGETABLE CREOLE (GF)(VN)(T9),320,1/2 Cup,236,1/2 Cup
8/25/2025 0:00,Lunch,820,820,820,ARROZ A LA POBLANA (GF)(VN)(T9),370,1 Serving,213,1 Serving
8/25/2025 0:00,Lunch,820,820,820,CAVATAPPI W/ MARINARA SAUCE (VN),500,3 oz Serving,500,3 oz Serving
8/25/2025 0:00,Lunch,820,820,820,VEGETABLES ROASTED (GF)(VN)(T9),270,1 oz Serving,325,1 oz Serving
8/25/2025 0:00,Lunch,820,820,820,PIZZA BREAD (VGT),270,Slice,360,Slice
8/25/2025 0:00,Lunch,820,820,820,FLATBREAD PIZZA CHEESE (VGT),270,Slice,328,Slice
8/25/2025 0:00,Lunch,820,820,820,SHRIMP POPCORN,900,1/2 Cup,768,1/2 Cup
8/25/2025 0:00,Lunch,820,820,820,FISH COD PUB STYLE,700,3 oz Piece,640,3 oz Piece
8/25/2025 0:00,Lunch,820,820,820,HUSH PUPPIES (VGT),700,3 Hush Puppies,717,3 Hush Puppies
8/25/2025 0:00,Lunch,820,820,820,SALAD COLESLAW CREAMY (GF)(VGT),475,1/2 Cup,475,1/2 Cup
8/25/2025 0:00,Lunch,820,820,820,LEMON WEDGES (GF)(VN)(T9),280,Wedge,122,Wedge
8/25/2025 0:00,Lunch,820,820,820,TARTAR SAUCE (GF)(VGT),380,1 oz Serving,384,1 oz Serving
8/25/2025 0:00,Lunch,820,820,820,SAUCE COCKTAIL (GF)(VN)(T9),400,Tablespoon,324,Tablespoon
8/25/2025 0:00,Lunch,820,820,820,BARS BROWNIE DECADENCE (VGT),160,Brownie,160,Brownie
8/25/2025 0:00,Lunch,820,820,820,COOKIES CHOCOLATE CHUNK EB (VGT),370,Cookie,370,Cookie
8/25/2025 0:00,Lunch,820,820,820,COOKIES MAIZE AND BLUE EB (VGT),204,Cookie,204,Cookie
8/25/2025 0:00,Dinner,500,512,512,CHIPS PITA FRIED (VN),,4 Chips,,4 Chips
8/25/2025 0:00,Dinner,500,512,512,PITA WEDGES (VN),,4 Pieces,,4 Pieces
8/25/2025 0:00,Dinner,500,512,512,HUMMUS (GF)(VN),,1 oz Serving,,1 oz Serving
8/25/2025 0:00,Dinner,500,512,512,SALAD LENTIL GREEK WITH FETA (GF)(VGT),,2 oz Serving,,2 oz Serving
8/25/2025 0:00,Dinner,500,512,512,TOFU LEMON BAKED (GF)(VN),100,3 oz Piece,154,3 oz Piece
8/25/2025 0:00,Dinner,500,512,512,SAUCE A LA GRECQUE (GF)(VN)(T9),,2 oz Serving,,2 oz Serving
8/25/2025 0:00,Dinner,500,512,512,RICE BASMATI (GF)(VN)(T9),,1/2 Cup,,1/2 Cup
8/25/2025 0:00,Dinner,500,512,512,CHICKEN THIGH LEMON ROASTED (GF)(H)(T9),533,3 oz,427,3 oz
8/25/2025 0:00,Dinner,500,512,512,SAUCE A LA GRECQUE (GF)(VN)(T9),250,2 oz Serving,200,2 oz Serving
8/25/2025 0:00,Dinner,500,512,512,RICE BASMATI (GF)(VN)(T9),330,1/2 Cup,200,1/2 Cup
8/25/2025 0:00,Dinner,500,512,512,CAVATAPPI W/ MARINARA SAUCE (VN),,3 oz Serving,435,3 oz Serving
8/25/2025 0:00,Dinner,500,512,512,VEGETABLES ROASTED (GF)(VN)(T9),,1 oz Serving,640,1 oz Serving
8/25/2025 0:00,Dinner,500,512,512,PIZZA BREAD (VGT),230,Slice,264,Slice
8/25/2025 0:00,Dinner,500,512,512,FLATBREAD PIZZA CHEESE (VGT),230,Slice,288,Slice
8/25/2025 0:00,Dinner,500,512,512,SHRIMP POPCORN,,1/2 Cup,,1/2 Cup
8/25/2025 0:00,Dinner,500,512,512,FISH COD PUB STYLE,,3 oz Piece,,3 oz Piece
8/25/2025 0:00,Dinner,500,512,512,HUSH PUPPIES (VGT),,3 Hush Puppies,,3 Hush Puppies
8/25/2025 0:00,Dinner,500,512,512,SALAD COLESLAW CREAMY (GF)(VGT),,1/2 Cup,,1/2 Cup
8/25/2025 0:00,Dinner,500,512,512,LEMON WEDGES (GF)(VN)(T9),,Wedge,,Wedge
8/25/2025 0:00,Dinner,500,512,512,TARTAR SAUCE (GF)(VGT),,1 oz Serving,,1 oz Serving
8/25/2025 0:00,Dinner,500,512,512,SAUCE COCKTAIL (GF)(VN)(T9),,Tablespoon,,Tablespoon
8/25/2025 0:00,Dinner,500,512,512,CHEESECAKE CHOCOLATE CHIP (VGT),224,Piece,224,Piece
8/25/2025 0:00,Dinner,500,512,512,COOKIES CHOCOLATE CHUNK EB (VGT),72,Cookie,72,Cookie
8/26/2025 0:00,Breakfast,305,407,407,POTATOES TRITATERS DEEP FRIED (VN),,2 Tritaters,,2 Tritaters
8/26/2025 0:00,Breakfast,305,407,407,HOT CEREAL OATMEAL (VN),0,8 oz Cup,0,8 oz Cup
8/26/2025 0:00,Breakfast,305,407,407,VEGETABLES SAUTEED (GF)(VN)(T9),60,1/2 Cup,60,1/2 Cup
8/26/2025 0:00,Breakfast,305,407,407,TOFU SCRAMBLE BRUSCHETTA (GF)(VN),50,1/2 cup,33,1/2 cup
8/26/2025 0:00,Breakfast,305,407,407,EGGS SCRAMBLED (GF)(VGT),432,1/2 cup Serving,216,1/2 cup Serving
8/26/2025 0:00,Breakfast,305,407,407,BACON PRECOOKED (GF)(T9),188,4 Slices,216,4 Slices
8/26/2025 0:00,Breakfast,305,407,407,POTATO TOTS SWEET (VN),,1/2 cup,133,1/2 cup
8/26/2025 0:00,Breakfast,305,407,407,WAFFLES GRILLED (VGT),144,1 Waffle,144,1 Waffle
8/26/2025 0:00,Breakfast,305,407,407,FRENCH TOAST CINNAMON SWIRL (VGT),,2 Slices,,2 Slices
8/26/2025 0:00,Breakfast,305,407,407,SCONES ASSORTED MINI FZ (VGT),36,Scone,48,Scone
8/26/2025 0:00,Breakfast,305,407,407,MUFFINS BLUEBERRY BATTER (VGT),36,Muffin,48,Muffin
8/26/2025 0:00,Breakfast,305,407,407,MUFFINS CRANBERRY ORANGE BATTER (VGT),36,Muffin,48,Muffin
8/26/2025 0:00,Lunch,880,675,675,BARS SMORES,160,Pieces,120,Pieces
8/26/2025 0:00,Lunch,880,675,675,CHICKEN 10 CUT HAWAIIAN (H),,Piece,,Piece
8/26/2025 0:00,Lunch,880,675,675,ZITI BAKED (H),,1/2 Cup,,1/2 Cup
8/26/2025 0:00,Lunch,880,675,675,CHICKEN BREAST MARRAKESH (GF)(H)(T9),,3 oz Piece,,3 oz Piece
8/26/2025 0:00,Lunch,880,675,675,SALSA MILD (GF)(VN)(T9),400,1/4 Cup,216,1/4 Cup
